                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.466,                 4.3438,                 4.3587,                0.00498,                    0.5,                0.00895,                0.00378,                 2.4632,                 4.3613,                  4.159,                      0,                      0,                      0
                      2,                 3.2644,                 4.5858,                 4.3746,                0.00483,                    0.5,                0.00878,                0.00349,                 2.4632,                 4.3611,                  4.159,                1.1e-05,                1.1e-05,                1.1e-05
                      3,                 3.4491,                 4.3552,                 4.3887,                0.00498,                    0.5,                0.00904,                0.00439,                 2.4632,                 4.3608,                 4.1591,              2.178e-05,              2.178e-05,              2.178e-05
                      4,                 3.3708,                 4.3206,                 4.2129,                0.00482,                    0.5,                0.00938,                0.00382,                 2.4632,                 4.3607,                 4.1592,              3.234e-05,              3.234e-05,              3.234e-05
                      5,                 3.5854,                 4.4434,                 4.4735,                0.00464,                    0.5,                0.01176,                0.00448,                 2.4632,                 4.3605,                 4.1592,              4.268e-05,              4.268e-05,              4.268e-05
                      6,                 3.0597,                 4.2682,                 4.5614,                  0.005,                    0.5,                0.00974,                0.00391,                 2.4632,                 4.3604,                 4.1592,               5.28e-05,               5.28e-05,               5.28e-05
                      7,                 3.4976,                 4.2059,                 4.3557,                0.00482,                    0.5,                0.00936,                0.00451,                 2.4632,                 4.3602,                 4.1592,               6.27e-05,               6.27e-05,               6.27e-05
                      8,                 3.2187,                 4.3483,                 4.2499,                0.00509,                    0.5,                0.01037,                0.00419,                 2.4633,                 4.3601,                 4.1591,             7.2381e-05,             7.2381e-05,             7.2381e-05
                      9,                 3.6812,                 4.3536,                 4.3904,                0.00465,                    0.5,                0.01521,                 0.0062,                 2.4632,                   4.36,                 4.1589,             8.1841e-05,             8.1841e-05,             8.1841e-05
                     10,                 3.4791,                 4.3129,                 4.2349,                0.00487,                    0.5,                0.01325,                0.00498,                 2.4632,                 4.3599,                 4.1588,             9.1081e-05,             9.1081e-05,             9.1081e-05
                     11,                 3.2954,                 4.1758,                 4.3718,                0.00478,                    0.5,                0.01667,                0.00618,                 2.4631,                 4.3598,                 4.1586,              0.0001001,              0.0001001,              0.0001001
                     12,                 3.2386,                 4.2646,                 4.2181,                0.00481,                    0.5,                0.01505,                0.00623,                  2.463,                 4.3597,                 4.1583,              0.0001089,              0.0001089,              0.0001089
                     13,                 3.1345,                 4.4078,                 4.3027,                 0.0048,                    0.5,                0.01585,                0.00571,                 2.4628,                 4.3597,                 4.1579,             0.00011748,             0.00011748,             0.00011748
                     14,                 3.3426,                  4.313,                 4.3089,                 0.0048,                    0.5,                0.01576,                0.00631,                 2.4626,                 4.3595,                 4.1575,             0.00012584,             0.00012584,             0.00012584
                     15,                 3.2629,                 4.2335,                 4.2129,                0.00492,                    0.5,                0.01558,                0.00607,                 2.4624,                 4.3594,                  4.157,             0.00013398,             0.00013398,             0.00013398
                     16,                 3.2222,                 4.4111,                 4.1968,                0.00479,                    0.5,                0.01321,                0.00578,                 2.4621,                 4.3593,                 4.1564,              0.0001419,              0.0001419,              0.0001419
                     17,                 3.5218,                 4.1605,                 4.2688,                 0.0049,                    0.5,                0.01618,                0.00691,                 2.4618,                 4.3592,                 4.1557,              0.0001496,              0.0001496,              0.0001496
                     18,                 3.4874,                  4.282,                 4.2563,                 0.0049,                    0.5,                0.01618,                0.00691,                 2.4618,                 4.3592,                 4.1557,             0.00015708,             0.00015708,             0.00015708
                     19,                 3.1825,                 4.2634,                 4.2923,                0.00483,                    0.5,                0.02004,                0.00821,                 2.4612,                 4.3588,                 4.1538,             0.00016434,             0.00016434,             0.00016434
                     20,                 2.9394,                 4.2611,                 4.2267,                0.00483,                    0.5,                0.02004,                0.00821,                 2.4612,                 4.3588,                 4.1538,             0.00017138,             0.00017138,             0.00017138
                     21,                 3.6335,                 4.2233,                 4.2102,                 0.0047,                    0.5,                0.02043,                0.00762,                 2.4604,                 4.3583,                 4.1524,              0.0001782,              0.0001782,              0.0001782
                     22,                 3.5601,                  4.172,                 4.2155,                 0.0047,                    0.5,                0.02043,                0.00762,                 2.4604,                 4.3583,                 4.1524,              0.0001848,              0.0001848,              0.0001848
                     23,                 3.6016,                 4.4182,                 4.2087,                0.00498,                    0.5,                0.01781,                0.00639,                 2.4595,                 4.3578,                 4.1508,             0.00019119,             0.00019119,             0.00019119
                     24,                 3.4086,                  4.178,                 4.2647,                0.00498,                    0.5,                0.01781,                0.00639,                 2.4595,                 4.3578,                 4.1508,             0.00019735,             0.00019735,             0.00019735
                     25,                 3.2955,                 4.1357,                 4.2353,                0.00472,                    0.5,                0.01485,                0.00594,                 2.4585,                 4.3572,                 4.1494,             0.00020329,             0.00020329,             0.00020329
                     26,                 3.2142,                 4.0268,                 4.2034,                0.00472,                    0.5,                0.01485,                0.00594,                 2.4585,                 4.3572,                 4.1494,             0.00020901,             0.00020901,             0.00020901
                     27,                 3.5245,                 4.1537,                 4.3098,                0.00492,                    0.5,                0.01265,                0.00521,                 2.4571,                 4.3568,                 4.1479,             0.00021451,             0.00021451,             0.00021451
                     28,                 3.6612,                 4.1306,                 4.1865,                0.00492,                    0.5,                0.01265,                0.00521,                 2.4571,                 4.3568,                 4.1479,             0.00021979,             0.00021979,             0.00021979
                     29,                 3.2392,                 4.2382,                 4.1613,                0.00488,                    0.5,                0.01329,                0.00468,                 2.4555,                 4.3565,                 4.1465,             0.00022485,             0.00022485,             0.00022485
                     30,                 3.2356,                 4.0605,                 4.1977,                0.00488,                    0.5,                0.01329,                0.00468,                 2.4555,                 4.3565,                 4.1465,             0.00022969,             0.00022969,             0.00022969
                     31,                  3.127,                 3.9018,                 4.2401,                0.00494,                    0.5,                0.01076,                0.00384,                 2.4539,                 4.3564,                 4.1451,             0.00023431,             0.00023431,             0.00023431
                     32,                 3.3771,                 4.0161,                 4.2564,                0.00494,                    0.5,                0.01076,                0.00384,                 2.4539,                 4.3564,                 4.1451,             0.00023871,             0.00023871,             0.00023871
                     33,                 3.4701,                  4.146,                 4.2321,                0.00482,                    0.5,                0.01165,                0.00382,                 2.4524,                 4.3566,                 4.1438,             0.00024289,             0.00024289,             0.00024289
                     34,                 3.1435,                 4.2151,                  4.205,                0.00482,                    0.5,                0.01165,                0.00382,                 2.4524,                 4.3566,                 4.1438,             0.00024685,             0.00024685,             0.00024685
                     35,                 3.1085,                 4.4278,                  4.148,                0.00463,                    0.5,                 0.0112,                0.00338,                 2.4512,                 4.3568,                 4.1431,             0.00025059,             0.00025059,             0.00025059
                     36,                 3.3748,                  4.127,                 4.1885,                0.00463,                    0.5,                 0.0112,                0.00338,                 2.4512,                 4.3568,                 4.1431,             0.00025411,             0.00025411,             0.00025411
                     37,                 2.8219,                  4.067,                 4.1769,                0.00461,                    0.5,                0.00754,                0.00291,                   2.45,                 4.3571,                 4.1428,             0.00025741,             0.00025741,             0.00025741
                     38,                 2.9298,                 4.2613,                 4.1211,                0.00461,                    0.5,                0.00754,                0.00291,                   2.45,                 4.3571,                 4.1428,              0.0002605,              0.0002605,              0.0002605
                     39,                 3.5241,                 4.0881,                 4.2488,                0.00442,                    0.5,                0.00901,                0.00319,                  2.449,                  4.357,                 4.1433,             0.00026336,             0.00026336,             0.00026336
                     40,                 3.3929,                 4.1688,                 4.2231,                0.00442,                    0.5,                0.00901,                0.00319,                  2.449,                  4.357,                 4.1433,               0.000266,               0.000266,               0.000266
                     41,                 2.9227,                 3.9731,                 4.2263,                0.00673,                    0.5,                0.00756,                 0.0015,                 2.4476,                 4.3564,                 4.1445,             0.00026842,             0.00026842,             0.00026842
                     42,                 3.5284,                 4.1661,                 4.2003,                0.00673,                    0.5,                0.00756,                 0.0015,                 2.4476,                 4.3564,                 4.1445,             0.00027062,             0.00027062,             0.00027062
                     43,                 3.2953,                 4.2151,                 4.1795,                0.00233,                0.16667,                0.00295,                0.00105,                 2.4456,                 4.3549,                  4.145,              0.0002726,              0.0002726,              0.0002726
                     44,                 3.4859,                 4.1843,                 4.1729,                0.00233,                0.16667,                0.00295,                0.00105,                 2.4456,                 4.3549,                  4.145,             0.00027436,             0.00027436,             0.00027436
                     45,                 2.9508,                 4.2218,                 4.1423,                 0.0023,                0.16667,                0.00316,                0.00084,                 2.4435,                 4.3527,                  4.146,              0.0002759,              0.0002759,              0.0002759
                     46,                 3.4295,                 4.2181,                 4.1696,                 0.0023,                0.16667,                0.00316,                0.00084,                 2.4435,                 4.3527,                  4.146,             0.00027722,             0.00027722,             0.00027722
                     47,                 3.0764,                 4.0062,                 4.1456,                0.00222,                0.16667,                0.00283,                0.00104,                 2.4404,                  4.351,                  4.148,             0.00027832,             0.00027832,             0.00027832
                     48,                 3.3698,                 4.2427,                 4.1689,                0.00222,                0.16667,                0.00283,                0.00104,                 2.4404,                  4.351,                  4.148,              0.0002792,              0.0002792,              0.0002792
                     49,                 3.6007,                 4.1348,                 4.1321,                0.00222,                0.16667,                0.00283,                0.00104,                 2.4348,                 4.3484,                 4.1502,             0.00027987,             0.00027987,             0.00027987
                     50,                 3.2133,                 4.0897,                 4.1277,                0.00222,                0.16667,                0.00283,                0.00104,                 2.4348,                 4.3484,                 4.1502,             0.00028031,             0.00028031,             0.00028031
                     51,                 2.9234,                 4.1918,                  4.141,                0.00225,                0.16667,                 0.0028,                0.00105,                 2.4285,                 4.3487,                 4.1548,             0.00028053,             0.00028053,             0.00028053
                     52,                 3.6789,                 3.8514,                 4.2197,                0.00225,                0.16667,                 0.0028,                0.00105,                 2.4285,                 4.3487,                 4.1548,             0.00028053,             0.00028053,             0.00028053
                     53,                 3.4249,                 3.9915,                 4.1597,                0.00225,                0.16667,                 0.0028,                0.00105,                 2.4285,                 4.3487,                 4.1548,             0.00028031,             0.00028031,             0.00028031
                     54,                 3.6174,                 3.9811,                 4.1371,                0.00233,                0.16667,                0.00292,                0.00107,                 2.4232,                 4.3502,                 4.1596,             0.00027987,             0.00027987,             0.00027987
                     55,                  3.282,                 4.0221,                 4.1383,                0.00233,                0.16667,                0.00292,                0.00107,                 2.4232,                 4.3502,                 4.1596,             0.00027921,             0.00027921,             0.00027921
                     56,                 3.5365,                 4.1196,                 4.1703,                0.00233,                0.16667,                0.00292,                0.00107,                 2.4232,                 4.3502,                 4.1596,             0.00027833,             0.00027833,             0.00027833
                     57,                 3.5408,                 3.8056,                 4.1421,                0.00231,                0.16667,                0.00339,                0.00115,                  2.416,                 4.3529,                 4.1648,             0.00027723,             0.00027723,             0.00027723
                     58,                 3.3505,                 3.9924,                 4.1779,                0.00231,                0.16667,                0.00339,                0.00115,                  2.416,                 4.3529,                 4.1648,             0.00027592,             0.00027592,             0.00027592
                     59,                 3.2679,                 3.9373,                   4.13,                0.00231,                0.16667,                0.00339,                0.00115,                  2.416,                 4.3529,                 4.1648,             0.00027438,             0.00027438,             0.00027438
                     60,                 3.2864,                 4.0732,                 4.1344,                0.00225,                0.16667,                0.00363,                0.00121,                 2.4086,                  4.353,                 4.1673,             0.00027262,             0.00027262,             0.00027262
                     61,                 3.0751,                 4.0298,                 4.1905,                0.00225,                0.16667,                0.00363,                0.00121,                 2.4086,                  4.353,                 4.1673,             0.00027064,             0.00027064,             0.00027064
                     62,                 3.3634,                 3.9709,                 4.1256,                0.00225,                0.16667,                0.00363,                0.00121,                 2.4086,                  4.353,                 4.1673,             0.00026844,             0.00026844,             0.00026844
                     63,                  3.367,                 4.0275,                 4.1215,                 0.0023,                0.16667,                0.00343,                0.00127,                    2.4,                 4.3529,                 4.1711,             0.00026602,             0.00026602,             0.00026602
                     64,                 2.9584,                 3.8903,                 4.1176,                 0.0023,                0.16667,                0.00343,                0.00127,                    2.4,                 4.3529,                 4.1711,             0.00026338,             0.00026338,             0.00026338
                     65,                 3.1904,                 3.9511,                 4.1467,                 0.0023,                0.16667,                0.00343,                0.00127,                    2.4,                 4.3529,                 4.1711,             0.00026053,             0.00026053,             0.00026053
                     66,                 3.1988,                 3.9771,                 4.1484,                0.00533,                    0.5,                0.00866,                0.00189,                 2.3956,                 4.3511,                 4.1741,             0.00025745,             0.00025745,             0.00025745
                     67,                 3.4458,                 4.1669,                   4.15,                0.00533,                    0.5,                0.00866,                0.00189,                 2.3956,                 4.3511,                 4.1741,             0.00025415,             0.00025415,             0.00025415
                     68,                 3.4937,                 3.9248,                 4.1517,                0.00533,                    0.5,                0.00866,                0.00189,                 2.3956,                 4.3511,                 4.1741,             0.00025063,             0.00025063,             0.00025063
                     69,                 3.5427,                 4.0031,                 4.1238,                0.00516,                    0.5,                 0.0085,                0.00394,                 2.3944,                 4.3494,                 4.1765,             0.00024689,             0.00024689,             0.00024689
                     70,                 3.0661,                 3.8663,                 4.0595,                0.00516,                    0.5,                 0.0085,                0.00394,                 2.3944,                 4.3494,                 4.1765,             0.00024293,             0.00024293,             0.00024293
